ticker,sweep_id,sweep_idx,timestamp,timestamp_str,sweep_type,zone_idx,zone_level,zone_level_str,sweep_quality_score,zone_state_at_sweep,zoneid,zone_top,zone_bottom,sweep_low,sweep_high,reversal_price,reversal_distance,candle_body,candle_total_range,wick_ratio,lower_wick,upper_wick,pin_bar_bull,pin_bar_bear,volume,volume_spike,volume_zscore,vol_surge,htf_composite_score,reversal_pattern,mss_confirmed,approach_slope_short_atr,approach_slope_long_atr,slope_gate_pass,slope_gate_reason,slope_min_atr_mult,use_dual_slope_check,zone_age_at_sweep,sweep_freshness,sweep_maturity,zone_side_match,direction,is_first_sweep,is_retest,zone_sweep_count,zone_touch_count_at_sweep,sweep_source,htfproximityscore,htfzonecount,HTF_confluence_score,ltfconfluencescore,ltfzonecount,midas_filtered,zonetype,originalzonetype,inversioncount,zoneside,patternstrength,volumeconfirmation,institutionalscore,compositescore,isdoubletop,isdoublebottom,decayfactor,zonestate,zonelifecyclephase,daysold,sweepmaturity,obtop,obbottom,breach_pending,zone_source,merge_generation,touches_since_inversion,age_since_inversion_days,firsttime_current_polarity,touches_at_inversion,zone_accumulated_touch_count,cutoff_date,outcome,exit_price,forward_bars,max_favourable,max_adverse,sl_price,stop_dist_pct,pnl_r,max_fav_r,max_adv_r,bars_to_resolution,exit_rsi6,label_reject_reason
TSLA,TSLA_0_BUL_20190220_1200_20p04,0,2019-02-20 12:00:00,20190220_1200,BULLISH,7,20.041714285714285,20.04,53,untested,2019-02-14>2019-02-14,20.098285714285716,20.041714285714285,19.93,,20.06,0.129999999999999,0.0799999999999983,0.14999999999999858,0.466666666666673,0.05000000000000071,0.019999999999999574,True,True,16072350.0,False,0.788510143482652,True,0.0,1,False,-1.164763458401294,-1.164763458401294,True,pass,0.05,False,6,1.4,established,True,neutral,True,False,1,1,ltf,0.0,0,0.0,0.0,0,False,swing,swinglow,0,neutral,0.5747411228938154,1.0,0.6471890593317811,0.675540393156957,False,False,0.9625,tested,forming,5,exhausted,20.098285714285716,20.041714285714285,False,ltf,0,0,0,,0,21,2019-02-20,LOSS,20.03169342857143,440,6.33100697906281,-35.09471585244267,20.03169342857143,0.14110952855717385,-1.0,44.86590695749971,-248.7054999848803,1.0,34.6638219147801,
TSLA,TSLA_0_BEA_20190227_1400_21p08,0,2019-02-27 14:00:00,20190227_1400,BEARISH,4,21.082678571428573,21.08,51,inverted,2019-02-06>2019-02-06,21.082678571428573,21.017321428571428,,21.09,20.95,0.14000000000000057,0.0799999999999983,0.23999999999999844,0.6666666666666716,0.019999999999999574,0.14000000000000057,True,True,20018235.0,False,0.28361251862282716,True,0.0,0,False,0.2658227848101334,0.42969569779643074,True,pass,0.05,False,21,0.0,fading,True,neutral,True,False,1,0,ltf,0.0,0,0.0,0.0,0,False,swinghigh,swinglow,1,neutral,0.5747411228938154,1.0,1.0,0.6565589863379229,False,False,0.85,inverted,established,20,exhausted,21.082678571428573,21.017321428571428,False,ltf,0,0,0,2019-02-27,14,14,2019-02-27,LOSS,21.093219910714286,433,40.763723150358,-1.813842482100234,21.093219910714286,0.6836272587794101,-1.0,59.628580672953326,-2.6532623718644266,2.0,61.880282312049125,
TSLA,TSLA_0_BUL_20190301_1400_19p58,0,2019-03-01 14:00:00,20190301_1400,BULLISH,11,19.5804,19.58,51,inverted,2019-01-31>2019-01-31,19.619600000000002,19.5804,19.53,,19.64,0.10999999999999943,0.08000000000000185,0.2799999999999976,0.7142857142857052,0.029999999999997584,0.16999999999999815,True,True,33398685.0,False,0.30999340446487333,True,0.0,1,False,-0.20972037283622466,-0.09952606635071733,True,pass,0.05,False,29,0.0,fading,True,neutral,True,False,1,0,ltf,0.0,0,0.0,0.0,0,False,swinghigh,swinglow,1,neutral,0.5047411228938166,1.0,1.0,0.5936236461258346,False,False,0.79,inverted,fading,28,exhausted,19.619600000000002,19.5804,False,ltf,0,0,0,2019-03-01,139,139,2019-03-01,LOSS,19.570609800000003,433,1.2729124236252545,-37.169042769857434,19.570609800000003,0.3533105906313508,-1.0,3.602814230251674,-105.2021755233489,2.0,34.23050689151012,
TSLA,TSLA_0_BUL_20190424_1500_17p22,0,2019-04-24 15:00:00,20190424_1500,BULLISH,13,17.215999999999998,17.22,50,untested,2019-04-15>2019-04-15,17.264,17.215999999999998,17.2,,17.3,0.10000000000000142,0.00999999999999801,0.120000000000001,0.916666666666684,0.10000000000000142,0.010000000000001563,True,True,19761675.0,False,0.11704214445390028,False,0.48760522261417893,0,False,-0.6434540389972182,-0.3163179916318175,True,pass,0.05,False,9,1.1,established,True,demand,True,False,1,0,ltf,0.3313022471067769,1,0.16154470595307768,0.0,0,False,pwl,swinglow,0,demand,0.5747411228938154,0.9171652339977938,0.597573881331036,0.6270614823336685,False,False,0.94,mitigated,established,8,exhausted,17.264,17.215999999999998,False,ltf,0,0,0,,0,41,2019-04-24,LOSS,17.207392,431,1.040462427745663,-31.79190751445087,17.207392,0.5353063583815145,-1.0,1.9436765722183376,-59.3901174844493,2.0,26.05908207304968,
TSLA,TSLA_0_BUL_20190522_1300_12p98,0,2019-05-22 13:00:00,20190522_1300,BULLISH,11,12.979821428571428,12.98,51,tested,2019-05-20>2019-05-21,13.115642857142857,12.979821428571428,12.89,,13.07,0.17999999999999972,0.030000000000001137,0.20999999999999908,0.8571428571428511,0.14999999999999858,0.02999999999999936,True,True,42139275.0,False,0.26330583536484575,True,0.0,1,False,-0.6895522388059651,-0.6895522388059651,True,pass,0.05,False,2,1.8,forming,True,neutral,True,False,1,2,ltf,0.0,0,0.0,0.0,0,False,swing,swinglow,0,neutral,0.6496046154015014,0.7,1.0,0.7048813846204504,False,False,1.0,tested,forming,1,exhausted,13.06017857142857,12.979821428571428,False,ltf,1,0,0,,0,14,2019-05-22,LOSS,12.973331517857144,431,35.73068094873755,-9.716908951798008,12.973331517857144,0.7396211334572036,-1.0,48.30943753827313,-13.137684298416891,1.0,10.739128422404477,
TSLA,TSLA_0_BUL_20190618_1300_14p86,0,2019-06-18 13:00:00,20190618_1300,BULLISH,2,14.856785714285715,14.86,62,inverted,2019-06-12>2019-06-12,14.923214285714286,14.856785714285715,14.84,,15.08,0.2400000000000002,0.14000000000000057,0.47000000000000064,0.7021276595744672,0.2400000000000002,0.08999999999999986,True,True,28290660.0,False,1.2643523610641678,True,0.0,0,False,-0.5295829291949613,-0.5295829291949613,True,pass,0.05,False,6,1.4,established,True,neutral,True,False,1,0,ltf,0.0,0,0.0,0.0,0,False,swinghigh,swinghigh,1,neutral,0.5747411228938171,0.7544315090730829,1.0,0.6725485974804424,False,False,0.9625,inverted,forming,5,exhausted,14.923214285714286,14.856785714285715,False,ltf,0,0,0,2019-06-18,7,7,2019-06-18,LOSS,14.849357321428574,431,17.639257294429697,-6.6976127320954895,14.849357321428574,1.529460733232269,-1.0,11.532991276704415,-4.379068116342656,4.0,74.83592656748709,
TSLA,TSLA_0_BUL_20190731_1500_16p07,0,2019-07-31 15:00:00,20190731_1500,BULLISH,4,16.069142857142857,16.07,63,inverted,2019-07-03>2019-07-11,16.130857142857145,16.069142857142857,15.78,,16.2,0.41999999999999993,0.10999999999999943,0.5800000000000001,0.810344827586208,0.41999999999999993,0.05000000000000071,True,True,35051310.0,False,1.3761784637274361,True,0.0,0,False,-0.2880658436214075,0.14559999999999293,True,pass,0.05,False,28,0.0,fading,True,neutral,True,False,1,0,ltf,0.0,0,0.0,0.0,0,False,swinghigh,swinghigh,1,neutral,0.6576981960290174,1.0,0.20448960136230837,0.5472628275621005,False,False,0.8574999999999999,inverted,fading,27,exhausted,16.130857142857145,16.069142857142857,False,ltf,1,0,0,2019-07-31,69,69,2019-07-31,LOSS,16.061108285714287,442,40.06172839506174,-13.148148148148142,16.061108285714287,0.8573562610229164,-1.0,46.7270494383092,-15.335688028289448,2.0,51.12376347966249,
TSLA,TSLA_0_BUL_20190814_1400_14p77,0,2019-08-14 14:00:00,20190814_1400,BULLISH,11,14.768785714285714,14.77,50,tested,2019-07-25>2019-07-26,15.084464285714285,14.768785714285714,14.72,,14.78,0.05999999999999872,0.019999999999999574,0.10999999999999943,0.8181818181818211,0.03999999999999915,0.05000000000000071,True,True,14451555.0,False,0.4869332405965213,False,0.5178932238421503,1,False,-0.9921259842519793,-0.9705179282868438,True,pass,0.05,False,20,0.0,established,True,demand,True,False,1,2,ltf,0.6742882206408432,1,0.3492093003864734,0.0,0,False,pwl,swinglow,0,demand,0.5952588771061834,1.0,1.0,0.6734696786090546,False,False,0.865,tested,established,19,exhausted,15.084464285714285,14.995535714285714,False,ltf,1,0,0,,0,98,2019-08-14,LOSS,14.761401321428572,442,57.645466847090674,-4.803788903924215,14.761401321428572,0.12583679682968463,-1.0,458.0970614272044,-38.17475511893364,1.0,31.790843100842935,
TSLA,TSLA_0_BUL_20190821_1400_14p60,0,2019-08-21 14:00:00,20190821_1400,BULLISH,2,14.600642857142859,14.60,54,inverted,2019-08-14>2019-08-14,14.659357142857143,14.600642857142859,14.51,,14.68,0.16999999999999993,0.11999999999999922,0.1899999999999995,0.3684210526315814,0.05000000000000071,0.019999999999999574,True,True,20191290.0,False,1.2895406907165943,True,0.0,1,False,-0.5724020442930216,-0.43682864450126596,True,pass,0.05,False,7,1.3,established,True,neutral,True,False,1,0,ltf,0.0,0,0.0,0.0,0,False,swinghigh,swinglow,1,neutral,0.5747411228938172,0.9470374564685625,1.0,0.7224895629873217,False,False,0.955,inverted,established,6,exhausted,14.659357142857143,14.600642857142859,False,ltf,0,0,0,2019-08-21,26,26,2019-08-21,LOSS,14.593342535714289,442,63.48773841961853,-4.155313351498633,14.593342535714289,0.5903097022187397,-1.0,107.54988132668892,-7.039208970952808,1.0,37.79469513092472,
TSLA,TSLA_0_BEA_20190905_1400_15p29,0,2019-09-05 14:00:00,20190905_1400,BEARISH,0,15.286357142857142,15.29,51,inverted,2019-09-03>2019-09-04,15.286357142857142,15.208250000000001,,15.29,15.17,0.11999999999999922,0.07000000000000028,0.21999999999999886,0.6818181818181789,0.02999999999999936,0.11999999999999922,True,True,18577545.0,False,0.4137002724132175,True,0.0,0,False,0.5329949238578626,0.3939698492462437,True,pass,0.05,False,2,1.8,forming,True,supply,True,False,1,0,ltf,0.0,0,0.0,0.0,0,False,swinghigh,swinghigh,1,supply,0.6503743209235269,1.0,1.0,0.795112296277058,False,False,1.0,inverted,forming,1,tested,15.286357142857142,15.233642857142858,False,ltf,1,0,0,2019-09-05,3,3,2019-09-05,LOSS,15.29400032142857,439,4.021094264996701,-58.734344100197745,15.29400032142857,0.8174048874658514,-1.0,4.919342086958943,-71.85465245049869,1.0,64.23015885110263,
